D,degree,N,epochs,lr,bs,mse,cos_sim,rel_L2
16,3,4096,200,0.003,256,0.00010218894749414176,0.9999985098838806,0.0018218673067167401
16,3,4096,200,0.003,256,0.00010598072549328208,0.9999982714653015,0.0018981173634529114
16,3,4096,200,0.003,256,0.00010293164086760953,0.9999983906745911,0.0018653253791853786
16,3,4096,200,0.003,256,0.00010297875269316137,0.9999985694885254,0.0017966566374525428
16,3,4096,200,0.003,256,0.00010253527580061927,0.9999984502792358,0.0018466537585482001
16,3,4096,200,0.003,256,0.00010261432908009738,0.9999983906745911,0.0018838851246982813
16,3,4096,200,0.003,256,9.495791891822591e-05,0.9999988079071045,0.001531928894110024
16,3,4096,200,0.003,256,0.00010448102693771943,0.9999985098838806,0.0018440000712871552
16,3,4096,200,0.003,256,0.00010812363325385377,0.9999982118606567,0.0020256030838936567
16,3,4096,200,0.003,256,9.830600174609572e-05,0.9999986290931702,0.0016825635684654117
16,3,4096,200,0.003,256,9.860299178399146e-05,0.9999985694885254,0.0017089470056816936
16,3,4096,200,0.003,256,0.00010546078556217253,0.9999980926513672,0.002039579674601555
16,3,4096,200,0.003,256,0.00011420631926739588,0.9999975562095642,0.0022845505736768246
16,3,4096,200,0.003,256,0.00010021957859862596,0.9999982118606567,0.00190811010543257
16,3,4096,200,0.003,256,9.92038258118555e-05,0.9999983906745911,0.0018441429128870368
16,3,4096,200,0.003,256,0.0001046524484991096,0.9999986290931702,0.0017889299197122455
